# %ECSV 1.0
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: sheetn, datatype: string}
# - {name: RA hr, datatype: string}
# - {name: RA min, datatype: string}
# - {name: RA sec, datatype: string}
# - {name: Dec deg, datatype: string}
# - {name: Dec min, datatype: string}
# - {name: Dec sec, datatype: string}
# - {name: pmRA, datatype: float64}
# - {name: pmDEC, datatype: float64}
# - {name: Vmag, datatype: float64}
# - {name: texp, datatype: float64}
# - {name: I2, datatype: string}
# - {name: expcount, datatype: float64}
# - {name: decker, datatype: string}
# - {name: lastobs, datatype: float64}
# - {name: B-V, datatype: float64}
# - {name: cad, datatype: float64}
# - {name: pri, datatype: int64}
# - {name: nexp, datatype: int64}
# - {name: binning, datatype: string}
# - {name: night_cad, datatype: float64}
# - {name: night_obs, datatype: int64}
# - {name: Template, datatype: string}
# - {name: Bstar, datatype: string}
# - {name: do, datatype: string}
# - {name: nobs, datatype: int64}
# - {name: totobs, datatype: int64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# - {name: moon, datatype: float64}
# - {name: only_template, datatype: string}
# schema: astropy-2.0
name sheetn "RA hr" "RA min" "RA sec" "Dec deg" "Dec min" "Dec sec" pmRA pmDEC Vmag texp I2 expcount decker lastobs B-V cad pri nexp binning night_cad night_obs Template Bstar do nobs totobs ra dec moon only_template
1296980278288450816 2023B_A012 14 59 11.4900 41 0 51.4000 -4.33 -0.09 12.68 1372.0 N 1000000000.0 B 0.0 0.96 0.7 1 3 1,1 -1.0 0 Y N "" 0 3 3.923463070236647 0.7158341875497654 0.6 N
6231542112460838784 2023B_A012 15 9 2.0287 -21 52 46.9170 -39.374 -10.713 12.22 1800.0 N 1000000000.0 B 0.0 0.78 0.7 2 2 1,1 -1.0 0 Y N "" 0 1 3.966408256384344 -0.3818727898041929 0.6666666666666666 N
6253093188903581312 2023B_A012 15 19 13.1320 -20 26 5.4800 -19.866 -13.526 13.072 1545.0 N 1000000000.0 B 0.0 0.67 0.7 3 2 1,1 -1.0 0 Y N "" 0 4 4.010848942446021 -0.3566555116138994 0.6 N
6251471482273519360 2023B_A012 15 23 14.6200 -22 47 59.8200 -12.554 -1.599 13.027 1668.0 N 1000000000.0 B 0.0 0.67 0.7 3 1 1,1 -1.0 0 Y N "" 0 7 4.028410445379588 -0.39793419679008124 0.6 N
2101342715562410240 2023B_A012 19 15 54.9700 40 38 46.3000 -14.16 -1.96 12.09 1686.0 N 1000000000.0 B 0.0 0.87 0.7 1 2 1,1 -1.0 0 Y N "" 0 1 5.043635746341215 0.7094099214613829 0.6666666666666666 N
2682842113036713856 2023B_A012 22 9 7.3831 2 36 37.8920 -6.749 -7.475 12.55 1352.0 N 1000000000.0 B 0.0 0.67 0.7 3 2 1,1 -1.0 0 Y N "" 0 3 5.7993933539345095 0.045562266151898595 0.6 N
2621281281631075456 2023B_A012 22 34 42.0200 -8 26 49.2000 11.715922 -23.81465 12.38 917.0 N 1000000000.0 B 0.0 0.7 0.7 1 3 1,1 -1.0 0 Y N "" 0 3 5.910995298632839 -0.14742796191596103 0.6666666666666666 N
2595106518274453632 2023B_A012 22 38 9.8900 -16 18 0.7000 3.97 -7.39 13.02 1858.0 N 1000000000.0 B 0.0 0.94 0.7 1 3 1,1 -1.0 0 Y N "" 0 1 5.926112031616674 -0.2844920617708435 0.6 N
2603194109196046208 2023B_A012 22 52 13.9280 -13 38 43.9400 7.289 -11.3 12.594 1328.0 N 1000000000.0 B 0.0 0.67 0.7 3 2 1,1 -1.0 0 Y N "" 0 3 5.987492207083124 -0.23815958182003977 0.6 N
2438343952886623744 2023B_A012 23 30 19.6000 -8 13 15.1000 4.6667404 -5.9913487 12.09 1689.0 N 1000000000.0 B 0.0 0.85 0.7 1 2 1,1 -1.0 0 Y N "" 0 2 6.153710965502473 -0.14348109373804827 0.6666666666666666 N
